text,label,reason
First day not so great. Her daughter fixed it upon my return the next day.,none,nan
Ms. Kim I've been going there for 15 yrs. now,none,nan
Very nice and kind staff,none,nan
They are good,none,nan
She did me dirty,none,nan
nice,none,nan
"Yunus is an amazing hair stylist! He takes his time to listen to you, understands what you want and gives the best haircut you can have in town! This place is extremely clean, professional and never disappoints you! Thank you, Imaj!",none,nan
"I came here thanks to a gift card and unlike a lot of the other places I've been thanks to Nift, I actually do see myself coming back here. I came here for a gel manicure and they did it quickly and well. What I love about this place is how real and honest they were despite being a pretty busy salon. I got my nails done by someone who seems to be a co-owner of the place and I liked how honest she was with me about running a business. She was super friendly the whole time and I enjoyed talking to",none,nan
"Went because of other reviews. The front desk staff wasn't very helpful, but the hairstylist was AMAZING!",none,nan
Great stylist but had to use an interpreter. Expensive.,none,nan
"Got a new haircut, he was fine!",none,nan
My go to spot!,none,nan
"Great local market. Has everything you need to make Latin dishes as well as all the regular ""American"" items as well. Prices are good, staff are friendly, and normally has most things you might need.",none,nan
"Really awesome neighborhood grocer. If you want the ""real deal"" on hispanic foods. Come here! If you need a qucik grab, forvet Safeway and stop here",none,nan
They have everything you need,none,nan
(Translated by Google) Jocelyn market is very comfortable and gets you out of trouble. What I like the most about this market are the pupusas and empanadas. (Original) Jocelyn market es muy comodo y lo saca de apuros lo que mas me gusta de este market son las pupusas y las empanadas.,none,nan
"(Translated by Google) It is a little varied the product you can find some Latin things! But the price of all products is quite high, very expensive, they give everything (Original) Es un poco variado el producto se pueden encontrar algunas cosas latinas! Pero el precio de todos los productos es bastante elevado muy caro dan todo",none,nan
(Translated by Google) Fanatsic store. (Original) Fanatsic store.,none,nan
Its a convient station its always clean and the station mangers are polite and helpful.,none,nan
"Well designed and well organized stations, Friendly security always there to help..",none,nan
No problems getting or navigating around this stop.,none,nan
Average,none,nan
Very Clean.,none,nan
I try to go here just about every Sunday to get the word of God,none,"Legitimate, on-topic review of the organization."
That's my church,none,nan
I love everything about the church.,none,nan
Good place to worship,none,nan
AMAZING!!!!!!!!!,none,nan
lexy was awesome and very knowledgeable ! Thanks guys👍🏼👊🏽🙏,none,nan
Had the BEST experience here. I went to 3 stores before finally ending up here to get my bf some good workout shoes. The African American man that helped up was so knowledgeable and listened to exactly what we needed and gave us good recommendations. Highly recommended,none,nan
Nate was the best got me a great pair of running shoes and my first pair of orthotics,none,nan
"Bought my running shoes, bit pricey but great staff",none,nan
"Kellyanne listened, considered, and then pulled a trio of options, all of which could've worked. Outstanding service.",none,nan
One of the only running shoe stores in DC that runs storewide discounts. Very good customer service but cramped space and limited selection of womens clothing.,none,nan
Good service!! the store have GAIT analysis for you if you want to buy an appropriate shoes,none,nan
"Friendly and knowledgeable. I bought the PureCadence 4 here, though it was a simple choice given I've been running on the Brooks PureCadence series since it came out.",none,nan
Excellent dog park for inside a city. About 2x the size of Swampoodle dog park. Turf and concrete structures with a water fountain. Decent amount of seating for dog parents. Relatively new and well maintained.,none,nan
We love coming here!,none,nan
"A lovely and well maintained park, with enough space for humans to maintain distance even when it’s busy.",none,nan
"This park is big, clean, and fun with lots of seating for humans and play space for dogs. Be careful for bikes and runners on the trail you have to cross to get into the park!",none,nan
Best dog park in the neighborhood,none,nan
Nice park!,none,nan
Took the cleavage down to anacostia Park had a nice time they were able to rip and run and enjoy themselves,none,nan
awesome always the best expo,none,nan
Relaxing,none,nan
"Great men's Sunday school study (9 -10:30) Go to website to see upcoming events. Small congregation, medium sized facility poised to grow.",none,nan
Enjoyed the fellowship and preaching,none,nan
"Great church, rigjt in the community",none,nan
Went to vote. 3 voting machines. DC I felt as I was living in the stone age. Lol,none,nan
Service spiritual,none,nan
"I was in a hurry to grab some breakfast and coffee before work and I figured I’d swing by this spot. The line was quite long so I figured it was a pretty decent spot. The line went relatively quietly but I wasn’t impressed. The food was extremely salty and rather tasteless. I was sad to discover the cafe didn’t have WiFi so I had to pack up and head to a different coffee shop. The pricing was quite affordable, which lead to my two star rating but I won’t be returning.",none,nan
"I will never go back. So I heard about this place and figured that I would give it a try. First, if you don't speak Spanish, good luck. I decided that I would get the sausage, egg and cheese on an English muffin. They show it on the board and says the price is $4.05. I get no cheese as shown in the pictures and they charge me $4.55, I guess even though they show the item with a picture on an English muffin, they want to screw you for an extra 50 cents. The sausage is bland, the muffin soggy beca",none,nan
Worst customer service ever. They don’t like big orders. They told me to wait just before I put in my order. Then had the nerve to put all the breakfast items away in front of me and speak Spanish as if I couldn’t understand them. Don’t waste your time here. This isn’t the first time I had a problem with them.,none,nan
"This place is awesome! The food is good! You want breakfast or lunch while at work, come here and get your food made fresh! My coworkers and I come here all the time. Never had a bad experience. Your food is made right in front of you so you get to see and say how you want your order.",none,nan
Great sandwiches and they actually use rotisserie turkey and prime rib for their lunch meat. Tuna melts and Reubens are great. They have a good selection of sodas. I wish their salads were a little better but I have a sandwich almost every day here and love it!,none,nan
"Sandwiches are consistently top notch stuff. Always the same taste, always the same price. And the manager, (Rachel I think) is always happy to see you.",none,nan
"This is an interesting café close to Chinatown. It Various different sandwiches, paninis and salads available. The food is fresh and made before your eyes. There is a carving station for ham and turkey sandwiches, where the meat is carved and place directly on your sandwich. You also can get your sandwiches toasted, and they come with a free pickle. Plenty of place to sit, but it’s designed mostly for takeaway.",none,nan
"Wouldn't accept my Discover card unless I met their ""minimum"". I refused to up my purchase......its unfortunate this business had to eat their food cost just because they did not want to pay merchant transaction fees..........WILL NEVER RETURN",none,nan
"Unenthused, so all I bought was ginger candy. It's an independent cafe but with nothing singular to offer it seems. It's geared to the office crowd, open 7am to 4pm. Standard offerings for breakfast and lunch--the breakfast runs to 10am only, fyi.",none,nan
"It my first time, the place is packed on the weekends, and by reservation only, mainly. The staff is courteous but a pair of socks is $14.99! Not even packaged lol... i had a great time though.",none,nan
Great place to ride.,none,nan
"I road with Chris Pepe and let me tell you his music was EVERYTHING! Then he scared me with this little yell he does, but all in all hes a great instructor. You go Glenn Coco!",none,nan
Love soul cycle!,none,nan
Always a very helpful resource for our community when you have questions or concerns about wild animals. They took in this Eastern Box Turtle found in a parking lot far from any green space.,none,nan
Thank you for being there and have this amazing organization. 😍❤️ always ready to help over the phone and having so much care for wild animals/birds 😍,none,nan
I love this place. They do great work and the entire community should support them.,none,nan
Great service. It took a while to get to the location (45min to an hour) to rescue a pigeon that appeared to have had a broken wing ;but a gentleman came out to the Southeastern part of DC from NW to retrieve the pigeon from further injury for it was located in an area where vehicles could have easily run over it.,none,nan
"Took a tour of the facilities during their annual open house and I have to say that I am thoroughly impressed with not only the facilities but also the staff and their dedication to helping wildlife. If I ever come across an injured critter, I am glad I know this place is a valuable resource.",none,nan
A wonderful place to bring injured wildlife. They are very friendly and will always give advice on what to do if you find something. They are always looking for volunteers so check them out!,none,nan
"Yesterday as I was loading my car I noticed a very wet and disheveled little bird who apparently has the misfortune of being caught in a recent storm. I couldn't just leave this baby there to become food for area stray cats looking for a quick snack so I ran into my house for a small box and some paper towels so that I could vet him safely into the box; once he was secure i googled ""wild bird"" rescue in NW, DC which is how I'd found these kind folks. When I arrived I was promptly greeted and giv",none,nan
"Their staff was amazing and the work they do, great. Took three baby squirrels I found abandoned in with no qualms.",none,nan
They do a great job.,none,nan
This is the place to take a sick or injured animal in the District.,none,nan
NO COVER CHARGE. Staff is great and personable. Late happy hour. Always make drinks strong. DJ plays mostly hip-hop but mixes it up as well. Hookah is one of the best on 9th/Ust They go over capacity pretty quick,none,Legitimate review of the business with positive feedback.
"Super small shots, drinks in plastic cups, and subpar hookah. Music was good.",none,nan
Nice atmosphere. Really cozy. Hookah bar. Drinks aren't watered down. And good service.,none,nan
"Please read your receipts carefully when visiting this place. They rang us up for Hennessy ($12) when we ordered Jack Daniel's (8.39) and the bartender wanted us to believe that they cost the same and wouldn't make changes to the charges on the check. There is also an automatic 18% gratuity added even for a party of 1. Management is unprofessional. It's also 90% men in there, especially on the first floor full of middle aged men watching tv.",none,nan
Nice spot.,none,nan
Always lit nice place to party nice hookah,none,nan
It's my birthdat Taurus,none,nan
Well I do know a little bit about cricket cricket is well known in the DC area for working with you on the phone bill and when you don't have a lot of money this is a good place to go,none,nan
Nice place very helpful,none,nan
The staff was very friendly and very helpful..,none,nan
Good service,none,nan
Don't ever go there always crowded bums outside and worker's are outside smoking cigarettes and talking on there cellphones,none,nan
Bad choice of location,none,nan
Ghetto! Never even open at correct time! Who is in charge of hiring? They need to be fired asap. So unprofessional and not good for business,none,nan
Never have what i need,none,nan
Ok,none,nan
HORRIBLE! HORRIBLE!,none,nan
"Never judge a book by it's cover! My husband turned me on to this place & the food is DELICIOUS! everything is great, especially their breakfast, wings to die for & subs which remind me of the good ole days when carryout was a treat☺",none,nan
Quick service and always good food. The women is always pleasant in the morning. I call in orders from the bus and its always ready when I arrive.,none,nan
Very nice people. The place is nice and clean. The food is good. Overall a pleasant place.,none,nan
Clen and service was good as well as food,none,nan
Great breakfast and fish and grits,none,nan
Its an ok place to go,none,nan
Pretty good,none,nan
They have the est breakfast ever....,none,nan
"Too cramped inside and sometimes they run out of things I came there for, but friendly/excellent staff. One of my regular spots for groceries.",none,nan
Great things in the store fabolous,none,nan
"I like this place... They have many organic and grass fed brands that I can't find at major chain stores. But. It's really small, some of the items have obviously been sitting for some time, because they're not as fresh as they could be. I'll definitely go back again! Just... I've shopped at much better.",none,nan
"Small organic store that sell an amazingly large range of products (think Tardis - it's bigger on the inside). Bulk spice, nuts, grains, oats etc, coffee beans, fresh veg, fruit, bread, and most any other food item you can think of. Manager and employees go out of their way to help.",none,nan
I like that they sell organic stuff and make it accessible to people in this neighborhood. But the prices are expensive! Veggies were okay but didn't look that fresh for the price.,none,nan
The staff has been very helpful the past few times I've gone in. Their vegan options are growing which really makes me happy. This is becoming my go to place for last minute things to piece a meal together.,none,nan
Love it! A little bit of everything and a great location,none,nan
Tiny but clean and everything was easy to find.,none,nan
They've got everything and are super friendly,none,nan
Good place good people,none,nan
"Good small neighborhood store, has many things, but almost no meats",none,nan
Tiny store but good selection,none,nan
Nice 2 sided counter.,none,nan
"It looks small, but they have everything you could want from an organic market.",none,nan
Good,none,nan
"Can't see any benefit DC provides for the over priced manager card over other states. Additional to the hustle to get the card , they will fine you a late fee even a day after your card expires. Although it clearly states they ""might"" .",none,nan
They're awesome coz they make sure every restaurant or bar in the city is legit & has a license 2 sell alcohol. Also like the crackdowns on some restaurants & bars who dont have licenses making sure they get a license 2 sell alcohol legitimately instead of doing it illegally..wanna see more crackdowns @ restaurants & bars especially on Georgia Ave & 14th NW DC.,none,nan
Rude. Get a new job if you don't love what you do,none,nan
Quick and friendly staff,none,nan
"It was an incredible experience to come to the House of Representatives and advocate for bills that will have an important impact on not only in my life, but all other constituents. It is a loud and fast pacing place, and a very pretty place too. It gives you a sense of responsibility and respect when walking among so many people with a huge pressure on their backs to fix the whole country's problem. Be kind and understandable of how difficult and necessary it is for bills to become a law. There",none,nan
Keeping the United States safe from database being breached by creating laws.,none,nan
Grand looking building,none,nan
(Translated by Google) Excellent postcards. (Original) Excelentes postales.,none,nan
"(Translated by Google) After your guided tour of the Capitol, you can ask to visit the Senate or the House of Representatives: you will then have to present your identity card and leave all your belongings (except identity papers) in a free locker, including your phone otherwise you will have to leave it in a second locker at the end of the queue if you have not followed the instructions; you will have a new security check and then you can admire the chamber or even listen to parliamentarians if",none,nan
SO grateful for this store. Super convenient and fast. First time using their notary and printing services. Best UPS experience in DC. I have lived here for 6 years! Ed is wonderful. Notary hours vary. Call ahead to confirm availability.,none,nan
"So I saw the recent negative reviews, and though I had a decent experience going here a few years back, I was curious to see if my 5-star ranking was no longer realistic. Nope. Sean was super helpful as I had three boxes and one loose item that all needed to go back to my company. He took them all no problem and I was in and out of there fast with a reasonable price. Much easier than the Post Office, even if it does cost more.",none,"On-topic, valid review of the business."
"Solid UPS. You may pay more, but their hours are good, service is solid and it's easy in/out location.",none,nan
"I have used this store for notary services, printing, and overnight mailing. Miles is always helpful, courteous and professional.",none,nan
Miles is super duper helpful and efficient. Can't ask for more than that.,none,nan
The gentleman behind the counter was nice and helpful.,none,nan
"Great service, friendly stuff!",none,nan
"After many years of so so dentist l finally found a dentist that understands what the patients feel every time they sit in the chair. He, office admin staff and his techs help lower your level of apprehension from the moment you arrive. Treatment is quick and concise with any and all questions fully answered. No dental work is completely pain free, but Dr. Kirunda comes as close to it as possible.",none,nan
I love this dentist. He fixed shoddy work performed by my last dentist and had kept my mouth in great shape. 10/10 would recommend.,none,nan
"I honestly cannot say enough good things about Dr. Kirunda & his staff. What a great experience...at THE DENTIST! How often do you get to say that?! Making the appointment was quick and the woman who answered the phone was so sweet and helpful. Everyone greeted me politely when I walked in today. The practice is clean, the waiting area is comfortable with HGTV on (yay!) and complimentary tea/water/coffee. Dr. K cleans your teeth HIMSELF. What other dentist is that hands-on? He explained exactly ",none,nan
I was pleased with the service I got today!,none,nan
My 6 months appointment Monday was quick and Dr. Kirunda didn't have to do much other than a 6 months cleaning and I got a good report. Thanks.,none,nan
"Parking can be tough, so come early. They take amerihealth",none,nan
The absolute best!,none,nan
"The staff here were helpful, friendly, and quick. The pickup and drop off processes were efficient and their indoor store allows you to buy the last minute things needed for a move. I'd of course recommend using a smaller, or local company to move, but if you can't this U-Haul is a good option. You can park your car there for free in their parking lot during the day while you move and the whole thing was pretty hassle-free.",none,nan
They really work to find the best storage for your needs and customer service is good!!,none,nan
Great place for a truck rental and/or moving supplies. The staff is super friendly and helpful. I prefer them over any other locations in the area.,none,nan
Watch out and be sure to take your own verification pictures. We returned our vehicle with the same gas it had at the time of rental and were charged for a full tank. The staff is unhelpful and incredibly rude. Document everything so you have proof when returning your vehicle and they try to charge you extra.,none,nan
"I cannot recommend this place to a friend due to the face the guy who attended the returns area Charles is rude, unprofessional and is smoking in people faces offensively. Has a hideous attitude towards good working people. Everyone else was AWESOME",none,nan
"The place was a bit hard to find, but the people were very nice and helpful.",none,nan
"Great customer service, truck was clean and on time. My 3rd time and they really have it down",none,nan
Good place to get a rental. Well stocked and we'll located. Their vans are brand new and really good!,none,nan
Quick and easy with above and beyond service! I was able to rent the truck in 10 minutes the night before so that when I drove up I contactless picked up the truck and went! Drop off was done in a safe and distanced manner. All trucks are thoroughly disinfected before next rental. All this at an unbelievable low price.,none,nan
"Make sure you take lots of pictures when you drop it off and when you return it. We were charged $150 for a ""broken light"" that we definitely did not do. On the receipt it says the incident happened at 6:30 pm, but we returned the van at noon. The person we called told us that 6:30 was just the time that they got a chance to inspect the vehicle and see that the light was damaged. We took pictures when we picked it up, but it looked exactly the same when we dropped it off so we didn't bother. Tha",none,nan
Customer service needs to be more friendly,none,nan
Customer service was good. Clerks are knowledgeable and easy to talk to.,none,nan
Great for in-town moves in the DMV... especially when you're picking up furniture for your girlfriend Casack,none,nan
New ways of conctless return of rental truck..nice uhaul app,none,nan
"Staff that was present when I dropped off my u-haul was unprofessional, argumentative, and rude. Also e warned of the deceptive fee structure. Our 19.99 a day van for two days with minimal milage ended up at $160. If you have any other options for somewhere else.",none,nan
Note to any renters ask to see or check truck before signing.....I signed out a truck saying the tank was full and miles she also different.,none,nan
"I've used this location a few times with good results. If you get there right as they open, you should be able to pick up your truck/van quickly. If you wait until later in the day - plan some time. The staff was fine, not overly friendly, but not rude either.",none,nan
They're poor because if you miss a payment they will not let you get into your unit.,none,nan
"Super organized, friendly staff, clean vehicles.",none,nan
Nice and helpful staff,none,nan
Great service and very convenient!,none,nan
Customer service was Pleasant enough but I did have a hard time finding the truck pick up area... the other staff seem like they didn't really care that much they were okay not to helpful. Truck was in good condition. Service was quick for me.,none,nan
"This U-haul runs like a machine. It was super easy to reserve, pick-up and drop off the U-haul and they answered all my questions before I even had the chance to ask them. The facility is also easy to get to and leave from, so driving a big moving truck for the firs time was less intimidating",none,nan
"Staff is always helpful, knowledgeable and friendly. I've had a storage unit there for several years, and have never had any problems. Only problem area: parking is horrible. Not enough of it, especially if you are loading/unloading.",none,nan
Very busy place,none,nan
Third rental in a month and this place is on their game! Fast in and out. Clean truck. Very professional. Best U-haul in US. Check in online.,none,nan
"Double stacked lockers/units, with small doors for medium and small lockers, makes it hard to put a couch into them. I would look at other spots. Although good place to pick up packing material - even has a tv cases",none,nan
Great clean place.,none,nan
Im giving 5 stars bc it still has my stuff in it. But it does not have a temp controlled environment.,none,nan
Made payment on storage,none,nan
Excellent service and convenient location. I checked in online so the entire process to get the truck and be on my way took less than 15 minutes. The location is less than 10 minutes walking from the RI metro stop. And the truck was brand new with 1k miles on it!,none,nan
"U-Haul storage is always good in case of need, but this location has trouble beyond the patience of regular humans. Their system is frozen most of the time, which is discouraging when you have Sat 30th and Sun 31st to move, wasting 3h of your time waiting just to get the storage unit contract, without the possibility of overtime access to the storage unit because it is not available for the storage building. U-Haul is a good addition to my life, but this location isn't",none,nan
"Horrible experience thru the mobile app for an after-hours pickup and dropoff, on what is supposed to be a seamless process. The app is extremely clunky and regularly doesn't register your clicks to allow you onto the next page. You need to submit all kinds of info upon arrival, not before, so prepare for a lengthy delay at pickup time despite the fact that they could've just had you submit everything earlier. Someone on their end needs to verify it in real-time, including calling a friend or fa",none,nan
Excellent storage facility in all the time my property has been stored there. Try them for yourself!,none,nan
"Terrible management and the Gen. Mgr named Ousman is THE WORST!!!!! This location would rather take your money before providing a ""complete"" service to you!",none,nan
This is a great US haul outlet. Shops in Md do not always have more than 1 of each size cargo trailers in stock.,none,nan
"Very happy with my moving experience. Not a lot of hidden fees, good service, and decent location (walking distance from the Rhode Island Avenue metro station) makes this U-Haul a good choice for in-town moving",none,nan
"I love this place, I love working here and helping people...😍😍😍",none,"Legitimate, on-topic review of the business."
"Good service but very slow, it took me almost one hour to get my truck which was already reserved online",none,nan
Conveniently located but parking is an issue in the area.,none,nan
"Poor service. Called about donating furniture, and they failed to inform me that donations can be left in the storage facility!",none,nan
Great customer service,none,nan
Good deal...,none,nan
They put a hold on your funds without telling you. And the when you ask to speak to a manager he is rude and nasty telling you that you have to call your financial institution,none,nan
Great service.,none,nan
"There were dead rats,magets,and rat poop all over my belongings",none,nan
Very friendly and proficient staff.,none,nan
Everyone is so nice,none,nan
Stop by to get treated like you're an idiot by rude staff!,none,nan
great service,none,nan
Good location great place,none,nan
Very tiny storage area and no parking.,none,nan
Excellent service,none,nan
Knowledgeable and helpful.,none,nan
very convenient service,none,nan
Service isn't that good,none,nan
"Everything was as described, friendly staff",none,nan
Great storage,none,nan
"Very friendly staff, hooked everything up for me",none,nan
Slowest customer service ever,none,nan
Busy at weekend,none,nan
"Cheese pizza for my teen majority of the time and this location makes their pizzas better than many other Little Caesars locations near by ...but our last pizza was burnt ( hot and ready ) I didn't return it but I don't expect it again.. I had dozen of great ones!! And the guy that normally works the register evenings/ nights WASN'T THERE but he has great customer service, I don't think he would have given that pizza out ..will return",none,nan
"Very fast and consistent. Pizza here is always decent enough for something quick - and a whole large pizza is just $5.99! It's not great - or fancy - or dine-in - but then again, it's not supposed to be.",none,nan
"The food is good. Never had any issues but I have to wait for my pizza to be cooked when the slogan says ""Hot n Ready"". Other than that we cool",none,nan
"Place was clean, folks were nice, pizza was Great !! And, the price was good.",none,nan
I enjoy the food it's great. I can't get enough. I am always back for more.,none,nan
"OMG...The worst customer service experience ever! Being from the Midwest, I was SO excited to learn that a new Little Caesars was coming to NW DC. Maybe 3 weeks after its grand opening, I paid a visit to this location and I vowed to never return. When 1st entering the store, I was not welcomed by any type of greeting. The girl at the register pretty much stared at me while I was deciding on what to order as if I was holding her up. When inquiring about the Hot and Ready pizzas, I asked how long ",none,nan
Good place take and out quickly although the cashier wasn't friendly but other than that a good place,none,nan
Great Pizza ever it's good not too oily...,none,nan
The pizza was not hot and it was naste will never eat from them again,none,nan
"I usually like ordering from here, but my order just arrived with one incorrect item and another missing item. When I call the number, I only get a busy signal. They really dropped the ball today.",none,nan
Nothing is ever Hot n Ready like the advertisent always promotes.,none,nan
Had the crazy bread and they were hard and overcooked,none,nan
Not at all friendly and she took a customer before me who came in after me. The pizza was ready but not all that great in taste.,none,nan
Cheap pizza for pick up,none,nan
(Translated by Google) Very rich pizzas and good prices (Original) Muy ricas pizzas y buenos precios,none,nan
Nice place to get perfume of different brands that you may be looking for,none,nan
I wish they had larger variety of women's fragrances,none,nan
My go to place.,none,nan
Great place,none,nan
Very inexpensive!!!!,none,nan
Laid back,none,nan
Ok apartments,none,nan
"This is so far the best Hot and Sour soup I've had in DC, this is a solid Chinese delivery place, I've never stayed in to eat but I'm sure the dishes better served straight from the kitchen would be amazing! Delivery itself is fairly quick for DC as well. I've had many of the standards and they've all been good, my last order however I decided to try Chow Mein for the very first time it was AWESOME, j don't know if this is indictive of the fish though since I've never bothered to order it anywhe",none,nan
"This is my favorite takeout Chinese food in DC. It's just the perfect comfort food that you want on a rainy night to eat too much with friends (or by yourself) and watch movies. Everything I've tried has been delicious and satisfying. I also ate in once, and the service was great! Definitely recommend this place.",none,nan
"This is the best Chinese takeout in the Waterfront/Navy Yard/Eastern Market area. The food is great quality, the employees are nice and helpful, and the delivery is prompt. I’m impressed that they always read my extra instructions in the online order and follow through. This is the only Chinese takeout I will order in the area. :)",none,nan
"Excellent take-out, friendly staff. Really, really, good General Tao's Tofu. Easy to miss if you aren't looking for it.",none,nan
"Great little, local takeout and delivery! Occasionally been going here throughout the past year. It's not amazing, it's nothing special, and it's unremarkable for any special event, but it gets the job done! Very nice staff, and an order has never been wrong, and it's extremely quick. (10 minutes to cook, delivers almost immediately)",none,"On-topic, valid review of the business."
"Excellent food. The wife and I spotted this upstairs jewel on 8th street, next to Medium Rare Restaurant. Ordered combination lo me in and and Szechuan shrimp; simply put. Delicious. We will return!",none,nan
Not sure why there are bad reviews. I ordered very good combination Pad Thai and egg rolls.i will go back again!,none,nan
"I ordered chicken pad thai noodles, orange chicken and chicken egg foo young. Delivery was quick and the food was delicious. Great prices too.",none,nan
Locating Eastern Market I want to say is next to Matchbox upstairs I want to display some do a lot of business because of where it's located but it has the best Chinese food ever and the best customer service it's quiet it's clean and a food tastes so good special the rice and it looks fresh that's the important thing,none,nan
"Best Chinese Szechuan style restaurant in DCGood Peking Duck! Here is a reasonably priced, very good quality and variety Chinese restaurant in DC. While most of the good Chinese restaurants have taken flight to the burbs, this one is still accessible to those who live in the city.",none,nan
The best chinese american take away in Capitol hill.,none,nan
"Had sesame beef and pork lo mein, the quality was middling at best, very chatty and tough beef. Doctors and offerings were okay, kinda generic American Chinese food, but the portions were super small considering the price.",none,nan
Great Chinese food.,none,nan
"Maybe I ordered the wrong thing, maybe it was the hair in my food... But I won't be eating here again.",none,nan
Fun store of great gifts with a helpful staff. They held our purchases at the front desk so we didn't have to hold them while we decided what we wanted. A good spot to hit for when you have to get a gift for someone.,none,nan
Best little local gift shop in the area. You can get gifts for anyone there. They also have a great array of DC centric gifts if you were visiting DC as well.,none,nan
"Great place to shop for unique gifts, clothing and decor. This little Shop has something for everyone on your list",none,nan
Always try to support small businesses. Great little gift shop with unique items.,none,nan
Love what they carry and love Susie and Tim,none,nan
"Neighbor staple for years, now closed",none,nan
"I love it there! Watched about 5 different soccer games. Took about 5 hours but it was well worth it! It's clean, ppl are friendly & the competition is always there! Im sure they're still out there playing now at 10:30p lol. Anyway, go there if you want to exercise, play tennis, soccer or just catch a good vibe!",none,nan
Love this park and how they set it up.,none,nan
I was taking my husband for a walk and to look at the kick ball team and it was very nice we enjoyed it.,none,nan
(Translated by Google) Very good clean and the little ones entertain themselves in soccer (Original) Muy bueno limpio y los más pequeños se entretienen en el futbol,none,nan
Best advertisement I've seen yet!~ 🖖🏿✌🏿🤲🏿🎉,none,nan
Update: waited 4 hours to go to the window and she tell me the specialist is gone for today so come back another day. Seriously?! WTF!!! Expect at least a 2-4 hr wait. The names are not called in order. No tracking system. No estimated wait time. There's 10 interview windows and 3 intake windows but only 1 intake window open and 2 interview windows so running at less then 25%. Why even be open if you can't process ppl in a remotely timely manner? The facility only operates 4 1/2 days per week so,none,nan
"My experience was great when I went to social security to apply for Medicare. Ms, gieselle McCoy and Ms. Wanda Roberts provided outstanding customer service. They were professional. Knowledgeable, patient and got everything done in a timely manner! I was in and out within the hour. 😊👍",none,nan
"Depending on the time of day decides how long you will wait. If you can make an appointment you should. I had an appointment, waited in line to check in, then waited for my name to be called. The actual appointment was great, I got a lot of information and walked away empowered. The facility was clean, staff cordial, and even the security guards assisted with basic questions. Overall a good way to spend time cutting through the red tape!",none,nan
"Ashley in cubicle C was really helpful, listened and she is calm and a soothing voice. Thank you Ash. I came immediately when they opend at 9am. So the line was not that bad.",none,nan
Extremely slow service. It’s not true about Monday mornings being the fastest service day. I’ve been there today because I read the other reviews. Every damn day are the same with the line that take ages and then waiting again for your number being called is taking eons. Expect your time here to be 2-3 hours at average. The place also stinks and filled with flies because of the kind of people that come here for service. I don’t want to come back here again.,none,nan
They are very inexperienced! They all need training or firing!,none,nan
It was a wait but when I got seen ms.green was very very nice and Pleasant,none,nan
I like this location is because the staffs are very nice and it can be crowded at times.,none,nan
3-4 Hour wait for a social security card replacement smh.,none,nan
"If you go in there for any reason. Pack youre pack youre patients. Plan to be there at least half of the day. Suggested to go in as early , prior to opening . If you want good service dont go to cynthia 's Hightower cubicle . It seemed like everyone was upset at her when they left. I also saw that she is rude .",none,nan
Go on Wednesday they work faster,none,nan
Love miss green,none,nan
"Long lines, and outdated information ..",none,nan
Stunning panoramic views of the Navy Yard paired with solid mixed drinks and apps.,none,nan
"Came for drinks and the rooftop bar, and did not try the food. The rooftop area was nice and had a great view. Service was very slow. A couple drinks were decent, and one was not. Enjoyed the experience overall becuase of the view and rooftop!",none,nan
"Very fun time, great views of the city. Social distancing measures are fantastic. Love the ability to order drinks and pay directly from my phone. Friendly staff.",none,nan
Horrible service. Very disappointed 😞,none,nan
Hospitality & staff were triumphant and gets you amped to chill in a righteous space,none,nan
"Service and glasses selection are good even if on the pricy side. From the optician to sales there is nice service. But the buy 2 pair of glasses for half off the price and / or the ""Buy one pair get one free"" deals appear to be nothing but a sales scheme, no real deal is possible. There is no reason I see to be disqualified from the sales specials if I've paid $300-$500 out of pocket. It shouldn't matter how much my insurance covers. ""Restrictions apply"" of course. Most know buying glasses comp",none,nan
"We had a great experience.staff was attentive, knowledgeable and friendly. Everything was very clean and organized. We were offered the additional exam but were told it wasn't required.",none,nan
Plan on waiting even if you have an appointment. I have been waiting an hour to see the doctor. SMH.,none,nan
"Dr. Hanowsky was very good!! He did my prescription just about perfect! I usually have issues but I was very pleased with the exam and the time he took to talk with me and explain things. The staff there are courteous but I notice they don't acknowledge customers promptly. Overall, my experience was good.",none,nan
Very clean and the staff there was super nice! I had an error with my glasses and they apologized and gave me new ones at no cost! I recommend this place for sure!,none,nan
"I am deeply saddened to write such a review. Last year when my daughter & I visited this location it was great! Today that all changed when we showed up for our appointments and were told it was MANDATORY for us to take some specialized test that was on sale for $19.99 to even receive an eye exam. This is after waiting 25 minutes for our appointments! i have health insurance but, was denied service if i didn't agree to pay $40! That's like my doctor refusing to examine me if I don't pay a thermo",none,nan
Excellent customer service! My glasses came in a timely manner. Jennifer was very helpful with getting a pair of frames for myself and my son!,none,nan
I enjoyed the wonderful service provided. The ladies were great. Jennifer was very nice and kind to me and my boys🤗,none,nan
Awesome customer service! Very quick and very professional! Will definitely send people your way.,none,nan
Imani was very helpful both times she's assisted me! Great location. Nice and helpful staff!,none,nan
Friendly staff!! I recommend making an appt to get the best experience. Imani is super awesome when its time to select frames!!,none,nan
Conveniently located next to DC Costco and on metro bus lines to RI ave and Brookland CUA! The staff is friendly and the selection is functional but not extensive. The pricing with promotions make glasses affordable even with complicated prescriptions. Make sure you use your Vision benefits for even better pricing.,advertisement,Contains promotional content and encourages visits to the store.
